Element,Elemen
Style,Gaya
Script,Skrip
Database,Basis Data
Server,Server
Cloud,Cloud
Hosting,Hosting
Domain,Domain
SSL,SSL
Security,Keamanan
Performance,Performa
Optimization,Optimasi
SEO,SEO
Analytics,Analitik
Marketing,Pemasaran
Sales,Penjualan
Support,Dukungan
Accounting,Akuntansi
HR,SDM
CRM,CRM
Manufacturing,Manufaktur
Projects,Proyek
Assets,Aset
Quality,Kualitas
Help Desk,Meja Bantuan
Knowledge Base,Basis Pengetahuan
Learning,Pembelajaran
Healthcare,Kesehatan
Hospitality,Perhotelan
Agriculture,Pertanian
Non Profit,Nirlaba
Real Estate,Real Estat
Construction,Konstruksi
Education,Pendidikan
Government,Pemerintah
Retail,Ritel
Wholesale,Grosir
Service,Layanan
Logistics,Logistik
Transport,Transportasi
Media,Media
Entertainment,Hiburan
Sports,Olahraga
Travel,Perjalanan
Food,Makanan
Fashion,Mode
Electronics,Elektronik
Home & Living,Rumah & Gaya Hidup
Beauty,Kecantikan
Health,Kesehatan
Toys,Mainan
Kids,Anak-anak
Baby,Bayi
Automotive,Otomotif
Industrial,Industri
Office,Kantor
Books,Buku
Music,Musik
Movies,Film
Games,Game
Collectibles,Koleksi
Art,Seni
Crafts,Kerajinan
Pet Supplies,Perlengkapan Hewan Peliharaan
Garden,Taman
Tools,Alat
Hardware,Perangkat Keras
Software,Perangkat Lunak
Computer,Komputer
Laptop,Laptop
Mobile,Ponsel
Tablet,Tablet
Camera,Kamera
Audio,Audio
Video,Video
TV,TV
Smart Home,Rumah Pintar
Wearable,Dapat Dipakai
Accessories,Aksesoris
Gift Cards,Kartu Hadiah
Vouchers,Voucher
Coupons,Kupon
Deals,Penawaran
Offers,Penawaran
Discounts,Diskon
Promotions,Promosi
Clearance,Obral
New Arrivals,Produk Baru
Best Sellers,Terlaris
Recommended,Direkomendasikan
Trending,Populer
Featured,Unggulan
Popular,Populer
Top Rated,Peringkat Tertinggi
On Sale,Sedang Dijual
Sold Out,Terjual Habis
Coming Soon,Segera Hadir
Pre Order,Pre Order
Back Order,Pesanan Kembali
Waitlist,Daftar Tunggu
Notify Me,Beritahu Saya
Subscribe,Berlangganan
Unsubscribe,Berhenti Berlangganan
Follow,Ikuti
Unfollow,Berhenti Mengikuti
Like,Suka
Dislike,Tidak Suka
Comment,Komentar
Reply,Balas
Share,Bagikan
Report,Laporkan
Flag,Tandai
Block,Blokir
Mute,Bisukan
Hide,Sembunyikan
Show,Tampilkan
Expand,Perluas
Collapse,Ciutkan
Open,Buka
Close,Tutup
Next,Selanjutnya
Previous,Sebelumnya
First,Pertama
Last,Terakhir
Page,Halaman
Rows,Baris
Columns,Kolom
Grid,Kisi
List,Daftar
Table,Tabel
Card,Kartu
Tile,Ubin
Detail,Detail
Compact,Kompak
Standard,Standar
Large,Besar
Medium,Sedang
Small,Kecil
Tiny,Sangat Kecil
Extra Large,Sangat Besar
Extra Small,Sangat Kecil
Full Screen,Layar Penuh
Default,Default
Custom,Kustom
Auto,Otomatis
Manual,Manual
System,Sistem
User,Pengguna
Admin,Admin
Staff,Staf
Manager,Manajer
Director,Direktur
Supervisor,Supervisor
Coordinator,Koordinator
Assistant,Asisten
Associate,Rekan
Lead,Pimpinan
Head,Kepala
Chief,Ketua
Officer,Petugas
Executive,Eksekutif
Consultant,Konsultan
Advisor,Penasihat
Partner,Mitra
Owner,Pemilik
Founder,Pendiri
Co-Founder,Salah Satu Pendiri
Investor,Investor
Board,Dewan
Committee,Komite
Member,Anggota
Guest,Tamu
Visitor,Pengunjung
Subscriber,Pelanggan
Follower,Pengikut
Fan,Penggemar
Client,Klien
Address is required,Alamat wajib diisi
Address must include address_line1, city, and country,"Alamat harus mencakup baris alamat 1, kota, dan negara"
Address updated successfully,Alamat berhasil diperbarui
All address fields are required,Semua kolom alamat wajib diisi
At least one student is required for registration,Setidaknya satu siswa diperlukan untuk pendaftaran
Customer not found,Pelanggan tidak ditemukan
Each student must be an object with student_name and school_unit,Setiap siswa harus berupa objek dengan nama_siswa dan unit_sekolah
Each student must have student_name and school_unit,Setiap siswa harus memiliki nama_siswa dan unit_sekolah
Email and password are required,Email dan kata sandi diperlukan
Email is already registered,Email sudah terdaftar
Email is available,Email tersedia
Email is required,Email diperlukan
Full Name is required,Nama Lengkap diperlukan
Invalid email format,Format email tidak valid
Invalid email or password,Email atau kata sandi tidak valid
Invalid phone number format,Format nomor telepon tidak valid
Invalid phone number format. Please use international format (e.g., +628123456789),"Format nomor telepon tidak valid. Gunakan format internasional (contoh: +628123456789)"
Name, email, and password are required,"Nama, email, dan kata sandi diperlukan"
No address found,Tidak ada alamat ditemukan
Phone number is required,Nomor telepon diperlukan
Phone number must start with international country code (e.g., +62 for Indonesia),"Nomor telepon harus dimulai dengan kode negara internasional (contoh: +62 untuk Indonesia)"
Profile updated successfully,Profil berhasil diperbarui
School Unit {0} does not exist,Unit Sekolah {0} tidak ada
Student ID, student name and school unit are required,"ID Siswa, nama siswa, dan unit sekolah diperlukan"
Student created successfully,Siswa berhasil dibuat
Student name and school unit are required,Nama siswa dan unit sekolah diperlukan
Student not found,Siswa tidak ditemukan
Student updated successfully,Siswa berhasil diperbarui
Students must be a list,Siswa harus berupa daftar
User with email {0} already exists,Pengguna dengan email {0} sudah ada
User with email {0} does not exist,Pengguna dengan email {0} tidak ada
User with this email already exists,Pengguna dengan email ini sudah ada
